 Word,Inappropriate,Part of Speech,Pictionary Category,Source (URL etc.),Sense
castle,,noun,place,https://hobbylark.com/party-games/pictionary-words,
cat,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
caterpillar,,noun,animal,From the Pictionary Game,
catfish,,noun,animal,From the Pictionary Game,
cauliflower,,noun,vegetable,From the Pictionary Game,
cave,,noun,place,From the Pictionary Game,
cd,,noun,object,https://www.thegamegal.com/printables/,
ceiling,,noun,thing,https://partyjoys.com/creative-lists-of-pictionary-words,
cell phone,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cemetery,,noun,-,From the Pictionary Game,
centipede,,noun,-,From the Pictionary Game,
century,,noun,-,https://www.thegamegal.com/printables/,
cereal,,noun,object,From the Pictionary Game,
chair,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
chairman,,noun,people,From the Pictionary Game,
chalk,,noun,object,https://www.thegamegal.com/printables/,
chameleon,,noun,animal,From the Pictionary Game,
champion,,noun,people,https://www.thegamegal.com/printables/,
charger,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
chatter box,,noun,object,From the Pictionary Game,
cheese,,noun,thing,https://in.pinterest.com/pin/28429041376913056/,
chef,,noun,people,https://www.thegamegal.com/printables/,
cherry,,noun,fruit,https://en.islcollective.com/resources/printables/worksheets_doc_docx/fruit_pictionary/food/106625,
chess,,noun,game,Nil,
chessboard,,noun,object,From the Pictionary Game,
chicken,,noun,animal,https://www.thegamegal.com/printables/,
chicken pox,,noun,disease,From the Pictionary Game,
chimney,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
chimpanzee,,noun,animal,From the Pictionary Game,
chin,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
china,,noun,place,From the Pictionary Game,
chocolate,,noun,food type,https://partyjoys.com/creative-lists-of-pictionary-words,
chocolate cake,,noun,food type,From the Pictionary Game,
chopsticks,,noun,object,From the Pictionary Game,
christmas tree,,noun,object,From the Pictionary Game,
church,,noun,place,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cigarette,,noun,thing,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
cinnamon,,noun,spice,https://partyjoys.com/creative-lists-of-pictionary-words,
circle,,noun,shape,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
circus,,noun,place,https://www.thegamegal.com/printables/,
circus tent,,noun,object,https://hobbylark.com/party-games/pictionary-words,
cliff,,noun,-,https://www.thegamegal.com/printables/,
cloak,,noun,object,https://www.thegamegal.com/printables/,
clock,,noun,thing,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cloud,,noun,-,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
clown,,noun,people,From the Pictionary Game,
clutch,,noun,object,From the Pictionary Game,an object in a vehicle
clutch,,noun,object,From the Pictionary Game,wallet
coach,,noun,people,https://partyjoys.com/creative-lists-of-pictionary-words,
coal,,noun,object,https://www.thegamegal.com/printables/,
coast,,noun,place,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.646.2111&rep=rep1&type=pdf,
cobra,,noun,aniimal,From the Pictionary Game,
coconut,,noun,fruit,https://en.islcollective.com/resources/printables/worksheets_doc_docx/fruit_pictionary/food/106625,
coffee,,noun,drink,https://in.pinterest.com/pin/28429041376913056/,
coffee cup,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
coffee table,,noun,object,From the Pictionary Game,
coffin,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
collar,,noun,object,From the Pictionary Game,
comb,,noun,object,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
commercial,,noun,-,https://www.thegamegal.com/printables/,
compass,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
computer,,noun,object,https://hobbylark.com/party-games/pictionary-words,
computer game,,noun,object,From the Pictionary Game,
computer monitor,,noun,object,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
computer mouse,,noun,object,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
computer virus,,noun,quality,From the Pictionary Game,
contact lens,,noun,object,From the Pictionary Game,
control tower,,noun,place,From the Pictionary Game,
conversation,,noun,-,From the Pictionary Game,
convertible,,noun,-,https://partyjoys.com/creative-lists-of-pictionary-words,
conveyer belt,,noun,object,From the Pictionary Game,
convoy,,noun,-,From the Pictionary Game,
cookbook,,noun,object,From the Pictionary Game,
cookie,,noun,food type,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cooler,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cork,,noun,object,From the Pictionary Game,
corn,,noun,food type,https://www.thegamegal.com/printables/,
costume,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
cotton,,noun,object,From the Pictionary Game,
couch,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cow,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cowbell,,noun,object,From the Pictionary Game,
cowboy,,noun,people,https://www.thegamegal.com/printables/,
cowgirl,,noun,people,From the Pictionary Game,
crab,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cracker,,noun,object,From the Pictionary Game,
crane,,noun,machine,From the Pictionary Game,machine
crane,,noun,animal,From the Pictionary Game,animal
crayon,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cricket,,noun,sports activity,Nil,
cricket ball,,noun,object,From the Pictionary Game,
crocodile,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
crow,,noun,animal/ bird,https://www.thegamegal.com/printables/,
crown,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cruise,,noun,object,https://www.thegamegal.com/printables/,
cruise ship,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
crust,,noun,-,https://www.thegamegal.com/printables/,
cup,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
cupcake,,noun,food type,https://www.thegamegal.com/printables/,
curry,,noun,food type,From the Pictionary Game,
curtain,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
cut corners,,noun,-,From the Pictionary Game,
cycle,,noun,object,Nil,
dad,,noun,relation type,From the Pictionary Game,
dagger,,noun,object,From the Pictionary Game,
dairy,,noun,-,From the Pictionary Game,
dandruff,,noun,-,From the Pictionary Game,
dark,,noun,-,https://partyjoys.com/creative-lists-of-pictionary-words,
darkness,,noun,-,https://www.thegamegal.com/printables/,
darkroom,,noun,place,From the Pictionary Game,
darts,,noun,object,https://www.thegamegal.com/printables/,
dash,,noun,-,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.646.2111&rep=rep1&type=pdf,dash symbol
dead end,,noun,-,From the Pictionary Game,
deck,,noun,object,From the Pictionary Game,
decorations,,noun,-,https://partyjoys.com/creative-lists-of-pictionary-words,
deer,,noun,animal,http://sketchy.eye.gatech.edu/explore/rabbit.html,
dehydrated,,noun,-,From the Pictionary Game,
delivery room,,noun,place,From the Pictionary Game,
dent,,noun,-,https://www.thegamegal.com/printables/,
dentist,,noun,people,https://www.thegamegal.com/printables/,
deodarant,,noun,object,From the Pictionary Game,
desk,,noun,object,https://www.thegamegal.com/printables/,
diagonal,,noun,-,https://www.thegamegal.com/printables/,
diagram,,noun,-,From the Pictionary Game,
diameter,,noun,-,From the Pictionary Game,
diamond,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
diamond ring,,noun,object,From the Pictionary Game,
dictator,,noun,peoplw,From the Pictionary Game,
dimple,,noun,-,From the Pictionary Game,
dinosaur,,noun,animal,https://www.thegamegal.com/printables/,
dishwasher,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
diving board,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
dog,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
dog collar,,noun,object,From the Pictionary Game,
doll,,noun,object,https://www.thegamegal.com/printables/,
dollar,,noun,currency/object,https://www.thegamegal.com/printables/,
dolphin,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
donkey,,noun,animal,From the Pictionary Game,
donut,,noun,food type,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
door,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
door handle,,noun,object,http://cybertron.cg.tu-berlin.de/eitz/projects/classifysketch/,
doorbell,,noun,object,https://partyjoys.com/creative-lists-of-pictionary-words,
doorman,,noun,people,From the Pictionary Game,
doormat,,noun,object,https://www.thegamegal.com/printables/,
dove,,noun,animal,From the Pictionary Game,
downstairs,,noun,-,From the Pictionary Game,
dragon,,noun,animal/species,https://hobbylark.com/party-games/pictionary-words,
dragonfly,,noun,bird,From the Pictionary Game,
drainpipe,,noun,object,From the Pictionary Game,
dress,,noun,object,https://in.pinterest.com/pin/433260426650514145/,
driving license,,noun,object,From the Pictionary Game,
drought,,noun,-,https://www.thegamegal.com/printables/,
drumstick,,noun,object,From the Pictionary Game,
dryer sheets,,noun,object,https://www.thegamegal.com/printables/,
duck,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,animal
dumbbell,,noun,object,https://hobbylark.com/party-games/pictionary-words,
dump,,noun,place,From the Pictionary Game,
dungeon,,noun,place,From the Pictionary Game,
dustbin,,noun,object,From the Pictionary Game,
dynamite,,noun,object,From the Pictionary Game,
ear,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
earring,,noun,object,From the Pictionary Game,
earth,,noun,place,From the Pictionary Game,
echo,,noun,-,From the Pictionary Game,
eclipse,,noun,-,From the Pictionary Game,
egg,,noun,food type,https://www.thegamegal.com/printables/,
eight o'clock,,noun,time,From the Pictionary Game,
elbow,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
electric shaver,,noun,object,From the Pictionary Game,
electricity,,noun,object,https://www.thegamegal.com/printables/,
elephant,,noun,animal,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
email,,noun,-,From the Pictionary Game,
empty,,noun,-,From the Pictionary Game,
end,,noun,-,From the Pictionary Game,
engagement ring,,noun,object,From the Pictionary Game,
engine,,noun,object,From the Pictionary Game,
envelope,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
environment,,noun,-,From the Pictionary Game,
eraser,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
escalator,,noun,object,From the Pictionary Game,
exhaust pipe,,noun,object,From the Pictionary Game,
extension cord,,noun,object,https://www.thegamegal.com/printables/,
extinct,,noun,-,From the Pictionary Game,
extra time,,noun,-,From the Pictionary Game,
eye,,noun,body part,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
eye drops,,noun,object,From the Pictionary Game,
